max_df,min_df,phrase_len,alpha,lin_reg_mse,lasso_mse,ridge_mse,baseline_mse
0.1,0.0,5,0.01,898.941265185313,655.5004491028153,898.7915517049618,928.2324999999989
0.1,0.0,5,0.01,9694.319938760327,10029.002771472533,9696.495309137354,9739.185624999998
0.1,0.0,5,0.1,10100.25401340143,10284.29902679685,10102.030427222786,10124.017656250002
0.1,0.0,5,0.1,1022.4747380542685,761.8398571392278,1018.1499455003299,1037.7099999999969
0.1,0.0,5,0.1,1052.119495144171,905.1608624278964,1054.9342446323637,1090.89140625
0.1,0.0,5,0.1,1092.555841247712,1283.1591210278034,1095.8453025310548,1120.5200000000025
0.1,0.0,5,0.1,1093.0028161315213,1123.664725093399,1090.776138099293,1092.940625
0.1,0.0,5,0.1,1365.906622243449,1266.0286150187815,1369.2441544793987,1406.053906250001
0.1,0.0,5,0.1,1477.760008432969,1509.1636573604337,1483.318993850371,1566.0364062499975
0.1,0.0,5,0.1,1510.1407970486955,1176.0424584379045,1506.339609092587,1544.17890625
0.1,0.0,5,0.1,3617.3630801924833,3607.737321150084,3624.0843199561205,3684.0856250000006
0.1,0.0,5,0.1,898.941265185313,712.2332513190746,901.3335981042189,928.2324999999989
0.1,0.0,5,0.1,9694.319938760327,9876.324367794874,9699.77926999065,9739.185624999998
0.1,0.0,5,1,10100.25401340143,10124.017656250002,10110.65692085003,10124.017656250002
0.1,0.0,5,1,1022.4747380542685,1037.7099999999969,1030.2262506704028,1037.7099999999969
0.1,0.0,5,1,1052.119495144171,1090.89140625,1068.9588601407427,1090.89140625
0.1,0.0,5,1,1092.555841247712,1120.5200000000025,1108.7374799137829,1120.5200000000025
0.1,0.0,5,1,1093.0028161315213,1092.940625,1090.5920550634066,1092.940625
0.1,0.0,5,1,1365.906622243449,1406.053906250001,1383.6941206713554,1406.053906250001
0.1,0.0,5,1,1477.760008432969,1566.0364062499975,1511.31620397268,1566.0364062499975
0.1,0.0,5,1,1510.1407970486955,1544.17890625,1524.0872645417965,1544.17890625
0.1,0.0,5,1,3617.3630801924833,3684.0856250000006,3646.907273546688,3684.0856250000006
