Data for max DF
max_df,lin_reg_mse,lasso_mse,ridge_mse,baseline_mse
0.1,4004.2626076283186,5547.46493101903,4014.158363642786,5057.685625
0.3,3091.84003231023,3788.8916334753258,3080.4243913019513,3261.2599999999998
0.5,3947.88179920679,4167.879502035019,3941.1005596497953,4257.3989062500020.7,1056.909002462265,1271.4701564536765,1035.4663704043046,1115.1099999999988
0.9,3799.7246077777877,4920.60796165999,3799.665499596032,4031.6076562499975
1.0,11691.477695906604,11134.145346262385,11759.411870576967,13265.23515625

Data for min DF
min_df,lin_reg_mse,lasso_mse,ridge_mse,baseline_mse
0.0,3870.7095703246705,4374.711040153392,3850.212430264037,4446.85
0.01,3277.459000792187,4011.5531508192907,3258.8075830826583,3764.132499999999
0.1,2080.7821475853425,2660.368312883378,2061.2498464730425,2795.048906250004
0.2,10930.373581466312,11837.51493842954,10778.555888144147,9418.460624999998

Data for phrase length
phrase_len,lin_reg_mse,lasso_mse,ridge_mse,baseline_mse
1,3682.587429495271,2904.451374736508,3684.7208572677837,5286.415625
3,901.7533025040386,692.1694236631441,865.1645125657926,943.4125
5,9703.738187623381,10114.044153127445,9734.603967569343,9913.060000000005
7,9469.254662214209,9872.996278703538,9478.408404125072,9607.961406249999

Data for alpha
alpha,lin_reg_mse,lasso_mse,ridge_mse,baseline_mse
100,15591.492786251614,17377.96765624999,17362.0291527845,17377.96765624999
10,12474.113391283028,14095.973906250005,13927.982331018135,14095.973906250005
1,759.915120157666,734.0818567741585,758.1419672906449,826.92265625
0.1,769.934653126212,1730.8352491774167,731.2631925283964,911.3014062499979
0.01,3472.3218874780337,3453.6453434764057,3459.9097358729996,3921.16640625
0.001,1308.8174751498009,2365.8294881495017,1303.5529838910766,1727.5906250000014
